目录编号,视频标题,发布时间,年月,年份,主题分类,点赞数
25,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运,2024-06-21 15:19:50,2024-06,2024,"['基础设施', '文化遗产']",95933
10,数读政府工作报告：长风破浪，未来可期！#绘说现代化,2024-03-06 21:25:16,2024-03,2024,['两会政策'],41914
14,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,2024-04,2024,['绿色生态'],39102
88,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,2025-09,2025,['绿色生态'],35651
2,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,2024-01,2024,"['农业发展', '科技创新']",35042
11,用AI视角打开“两会热词”，读懂人民的期盼。#绘说现代化,2024-03-11 08:09:31,2024-03,2024,"['科技创新', '两会政策']",34736
22,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,2024-06,2024,['能源建设'],31344
26,“桂”在开放！66秒看广西如何向新而行🔥 #绘说现代化,2024-06-30 17:26:29,2024-06,2024,['区域发展'],29431
12,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,2024-03,2024,['农业发展'],26333
19,2023年我国授权发明专利92.1万件✌️专利变“红利”，创新发展有动力！#绘说现代化,2024-05-12 10:51:23,2024-05,2024,['科技创新'],24100
1,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,2024-01,2024,['农业发展'],23559
99,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献,2025-11-22 08:32:55,2025-11,2025,"['农业发展', '科技创新']",21968
4,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,2024-01,2024,"['农业发展', '科技创新']",21792
92,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火,2025-10-04 08:20:58,2025-10,2025,"['能源建设', '科技创新', '区域发展']",20718
47,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,2024-11,2024,['绿色生态'],20211
44,设备“更新”产业“焕新”！100秒看“两新”工作新在哪🔥 #绘说现代化,2024-11-02 13:48:44,2024-11,2024,['其他'],17898
72,在古村体验一场激情澎湃的马拉松，在白云深处看清晨的第一缕阳光洒在梯田上……山水为卷，文化为魂，江西绘,2025-05-17 08:48:44,2025-05,2025,"['文化遗产', '区域发展']",17135
34,累计调水740多亿立方米！90秒看南水北调工程有多牛👍 #绘说现代化,2024-08-24 15:07:19,2024-08,2024,['基础设施'],14117
30,中国世界遗产总数达到59项！88秒看文化中国闪耀世界👏#绘说现代化,2024-07-28 09:03:13,2024-07,2024,['文化遗产'],12533
29,万米海底，有“奋斗者”号；大山深处，有“中国天眼”；浩瀚太空，有“嫦娥”奔月…创新中国生机勃勃！#绘,2024-07-20 16:33:27,2024-07,2024,['科技创新'],10873
31,暑期旅游，“热”力十足；新型消费，不断拓展！80秒看活力中国潜力十足🔥#绘说现代化,2024-08-03 10:27:20,2024-08,2024,['消费经济'],9139
43,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,2024-10-26 12:43:15,2024-10,2024,['农业发展'],8887
40,75年砥砺奋进，75年换了人间！奋进中国，接力点赞👍 #绘说现代化 #有亿种骄傲叫我爱你中国,2024-10-04 21:58:58,2024-10,2024,['其他'],8671
28,投入联合收割机60多万台，小麦机收占比超98%！点赞中国夏收的科技范儿👍#绘说现代化,2024-07-14 15:12:13,2024-07,2024,['科技创新'],8639
18,当前我国劳动年龄人口接近9亿人，#追光的你 绘就新时代最美画卷！#绘说现代化,2024-05-02 09:00:57,2024-05,2024,['其他'],8626
5,造汽车这件事，中国有多牛！从无到有，从有到大，从大到强，中国“智造”汽车正加速驶向全球🔥 #绘说现代,2024-02-05 13:29:57,2024-02,2024,['科技创新'],8400
15,数字中国一路向前！1分钟看中国5G技术有多强。 #绘说现代化,2024-04-13 14:46:54,2024-04,2024,['科技创新'],8137
23,去年新增1500多家国家级高新技术企业！河北向新而行，为中国式现代化贡献品牌力量！#绘说现代化,2024-06-09 08:42:28,2024-06,2024,['区域发展'],7815
52,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,2024-12,2024,['科技创新'],6877
3,人才是希望田野的“绘就者”，当前我国农村实用人才超2300万！#绘说现代化,2024-01-19 18:00:44,2024-01,2024,['其他'],6816
13,清明小长假你有出行计划吗？一起去看祖国大好河山，感受中国式现代化的磅礴力量！ #绘说现代化,2024-03-30 11:56:18,2024-03,2024,['其他'],6767
7,造船这件事中国有多牛？三大指标连续14年居世界第一！ #绘说现代化,2024-02-16 12:01:48,2024-02,2024,['其他'],6381
9,“进度条”不断刷新！给全世界一点中国高铁的震撼！#绘说现代化,2024-03-01 09:07:24,2024-03,2024,['基础设施'],6239
46,我国制造业规模已连续14年位居世界第一！60秒看中国制造步履铿锵🔥#绘说现代化,2024-11-16 23:59:46,2024-11,2024,['其他'],6154
6,给全世界一点中国新能源车的震撼！！#绘说现代化,2024-02-08 11:02:46,2024-02,2024,['能源建设'],5942
57,从“中国年”到“世界节”！用剪纸风的春节，照见中国式现代化！#绘说现代化 #在抖音过好年 #非遗中国,2025-01-28 08:23:26,2025-01,2025,['其他'],5934
54,遇“冷”豫“热”！河南的冬天到底有谁在啊❄️ #绘说现代化 ,2025-01-11 15:54:52,2025-01,2025,['其他'],5784
